Month/Year,Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3,AQI(Monthly)
Mar/21,18/03/2021,Chennai-AlandurBusDepot,41.38,123.43,7.63,7.73,30.98,0.68,9.96,63.00 
,19/03/2021,Chennai-AlandurBusDepot,40.26,184.79,8.44,12.42,28.78,0.7,8.61,75.00 
,20/03/2021,Chennai-AlandurBusDepot,71.79,189.98,7.4,8.88,31.48,0.7,7.12,160.00 
,21/03/2021,Chennai-AlandurBusDepot,39.76,160.47,7.05,8.2,30.19,0.7,7.71,68.00 
,22/03/2021,Chennai-AlandurBusDepot,37.76,142.78,9.94,14.68,29.88,0.7,4.75,60.00 
,23/03/2021,Chennai-AlandurBusDepot,41.07,160.8,7.41,6.92,29.54,0.7,6.96,69.00 
,24/03/2021,Chennai-AlandurBusDepot,65.14,170.07,8.98,1.58,24.2,0.7,6.91,93.00 
,25/03/2021,Chennai-AlandurBusDepot,52.85,144.96,8.47,3.41,25.95,0.7,12.62,114.00 
,26/03/2021,Chennai-AlandurBusDepot,43.93,130.9,9.29,2.13,25.64,0.7,10.81,84.00 
,27/03/2021,Chennai-AlandurBusDepot,39.97,97.64,9.43,8.39,28.48,0.7,5.11,58.00 
,31/03/2021,Chennai-AlandurBusDepot,31.27,102.25,6.7,9.77,28.08,0.7,14.31,102.00 
Apr/21,01/04/2021,Chennai-AlandurBusDepot,29.35,80.33,5.91,10.15,26.55,0.7,11.63,42.00 
,02/04/2021,Chennai-AlandurBusDepot,44.96,101.19,7.49,10.82,26.8,0.7,15.06,65.00 
,03/04/2021,Chennai-AlandurBusDepot,47.1,106.75,5.6,10.11,27.05,0.7,10.16,87.00 
,04/04/2021,Chennai-AlandurBusDepot,35.62,88.55,5.48,12.58,28.01,0.7,9.09,65.00 
,05/04/2021,Chennai-AlandurBusDepot,2.46,98.07,5.64,14.02,26.71,0.7,7.99,98.00 
,09/04/2021,Chennai-AlandurBusDepot,43.36,88.29,7.03,5.42,32.56,0.7,6.62,72.00 
,10/04/2021,Chennai-AlandurBusDepot,41.82,83.63,5.96,12.92,35.77,0.7,3.61,64.00 
,11/04/2021,Chennai-AlandurBusDepot,38.17,70.14,3.63,15.85,37.78,0.7,2.44,70.00 
,12/04/2021,Chennai-AlandurBusDepot,20.95,39.34,3.5,9.65,33.5,0.7,4,42.00 
,13/04/2021,Chennai-AlandurBusDepot,9.81,48.26,3.78,4.11,39.27,0.7,3.29,49.00 
,14/04/2021,Chennai-AlandurBusDepot,13.82,49.38,6.17,9.01,44.81,0.7,2.96,56.00 
,15/04/2021,Chennai-AlandurBusDepot,19.18,35.39,6.2,6.6,44.24,0.7,6.72,55.00 
,16/04/2021,Chennai-AlandurBusDepot,38.94,40,5.45,12.36,38.27,0.7,5.27,64.00 
,17/04/2021,Chennai-AlandurBusDepot,24.77,52.91,5.72,9.77,36.3,0.7,6.76,53.00 
,18/04/2021,Chennai-AlandurBusDepot,17.94,35.76,5.9,6.97,37.31,0.7,5.02,47.00 
,19/04/2021,Chennai-AlandurBusDepot,30.03,60.05,4.6,10.2,38.86,0.7,9.52,48.00 
,20/04/2021,Chennai-AlandurBusDepot,31.8,63.22,5.12,13.29,40.47,0.7,5.69,63.00 
,21/04/2021,Chennai-AlandurBusDepot,24.32,48.64,5.54,15.82,37.69,0.7,9.98,49.00 
,22/04/2021,Chennai-AlandurBusDepot,23.25,46.51,4.33,13.74,36.81,0.7,7.42,46.00 
,23/04/2021,Chennai-AlandurBusDepot,26.04,52.07,5.27,10.59,35.62,0.7,6.16,45.00 
,24/04/2021,Chennai-AlandurBusDepot,29.07,58.15,6.11,11.97,38.83,0.7,5.82,47.00 
,25/04/2021,Chennai-AlandurBusDepot,25.86,51.71,3.7,13.58,39.04,0.7,6.7,49.00 
,26/04/2021,Chennai-AlandurBusDepot,34.19,68.39,3.49,14,39.31,0.7,12.31,52.00 
,27/04/2021,Chennai-AlandurBusDepot,32.35,64.7,5.45,12.27,36.95,0.7,15.92,66.00 
,28/04/2021,Chennai-AlandurBusDepot,35.72,71.43,6.17,12.93,35.73,0.7,10.5,74.00 
,29/04/2021,Chennai-AlandurBusDepot,32.45,64.91,5.63,9.57,38.54,0.7,8.21,67.00 
,30/04/2021,Chennai-AlandurBusDepot,24.1,48.21,4.39,11.22,45.13,0.7,13.35,54.00 
May/21,01/05/2021,Chennai-AlandurBusDepot,19.88,39.77,3.97,15.89,46.1,0.7,21.27,58.00 
,02/05/2021,Chennai-AlandurBusDepot,9.83,19.67,2.22,13.28,42.34,0.7,22.34,56.00 
,03/05/2021,Chennai-AlandurBusDepot,12.5,25.01,3.43,13.94,41.99,0.7,43.35,60.00 
,04/05/2021,Chennai-AlandurBusDepot,15.28,30.57,3.48,14.47,45.15,0.7,20.46,56.00 
,05/05/2021,Chennai-AlandurBusDepot,15.48,30.96,3.32,13.1,44.94,0.7,37.36,57.00 
,06/05/2021,Chennai-AlandurBusDepot,13.09,26.18,3.76,10.05,48.69,0.7,33.08,58.00 
,07/05/2021,Chennai-AlandurBusDepot,10.7,21.41,3.15,15.19,50.55,0.7,66.47,218.00 
,08/05/2021,Chennai-AlandurBusDepot,13.39,26.74,3.93,21.35,50.9,0.7,24.19,64.00 
,09/05/2021,Chennai-AlandurBusDepot,14.15,28.54,4.77,20.79,52.5,0.7,22.34,64.00 
,10/05/2021,Chennai-AlandurBusDepot,9.95,19.88,2.73,18.76,23.96,0.7,2.39,52.00 
,11/05/2021,Chennai-AlandurBusDepot,10.79,21.57,3.65,22.1,7.98,0.7,4.68,35.00 
,12/05/2021,Chennai-AlandurBusDepot,13.22,26.46,3.09,21.78,17.84,0.7,2.34,35.00 
,13/05/2021,Chennai-AlandurBusDepot,13.02,26,2.41,7,3.83,0.7,21.15,34.00 
,14/05/2021,Chennai-AlandurBusDepot,14.61,29.22,2.56,6.57,2.69,0.7,20.42,35.00 
,15/05/2021,Chennai-AlandurBusDepot,13.99,27.82,2.94,6.72,2.74,0.7,14.95,35.00 
,16/05/2021,Chennai-AlandurBusDepot,13.15,26.3,2.55,4.02,4.37,0.7,12.25,35.00 
,17/05/2021,Chennai-AlandurBusDepot,16.82,33.63,3.32,9.82,4.76,0.7,18.85,35.00 
,18/05/2021,Chennai-AlandurBusDepot,18.74,37.47,2.41,7.15,5.17,0.7,29.45,36.00 
,19/05/2021,Chennai-AlandurBusDepot,16.52,33.05,2.13,9.11,5.2,0.7,30.8,37.00 
,20/05/2021,Chennai-AlandurBusDepot,16.78,33.56,4.59,12.41,6.09,0.7,26.64,35.00 
,21/05/2021,Chennai-AlandurBusDepot,15.54,30.92,5.34,8.43,7.36,0.7,20.32,37.00 
,22/05/2021,Chennai-AlandurBusDepot,19.28,38.55,5.83,11.36,12.2,0.7,14.86,35.00 
,23/05/2021,Chennai-AlandurBusDepot,24.34,48.63,6.65,18.93,14.61,0.7,12.64,48.00 
,24/05/2021,Chennai-AlandurBusDepot,25.23,50.17,5.88,22.99,21.09,0.7,38.94,46.00 
,25/05/2021,Chennai-AlandurBusDepot,30.42,60.84,5.97,26.88,22.57,0.7,15.53,63.00 
,26/05/2021,Chennai-AlandurBusDepot,24.75,49.5,5.42,39.46,56.43,0.7,15.54,46.00 
,27/05/2021,Chennai-AlandurBusDepot,29.25,58.51,4.9,42.4,72.15,0.7,11.1,80.00 
,28/05/2021,Chennai-AlandurBusDepot,29.76,59.51,4.59,38.36,65.14,0.7,14.96,74.00 
,29/05/2021,Chennai-AlandurBusDepot,30.94,61.88,5.62,42.46,80.52,0.7,13.85,75.00 
,30/05/2021,Chennai-AlandurBusDepot,23.15,46.29,5.98,40.33,72.03,0.7,17.79,83.00 
,31/05/2021,Chennai-AlandurBusDepot,18.4,36.81,4.75,41.98,77.13,0.7,11,77.00 
Jun/21,01/06/2021,Chennai-AlandurBusDepot,20.3,40.59,5.04,43.18,90.63,0.7,14.08,89.00 
,02/06/2021,Chennai-AlandurBusDepot,20.54,41.09,5.08,38.84,86.64,0.7,12.35,94.00 
,03/06/2021,Chennai-AlandurBusDepot,20.39,40.78,3.63,21.67,31.8,0.7,14.32,69.00 
,04/06/2021,Chennai-AlandurBusDepot,15.7,31.39,2.73,13.06,18.67,0.7,8.39,35.00 
,05/06/2021,Chennai-AlandurBusDepot,16.08,32.16,2.71,10.49,18.42,0.7,20.14,35.00 
,06/06/2021,Chennai-AlandurBusDepot,15.61,31.22,3.04,8.79,17.06,0.7,23.29,35.00 
,07/06/2021,Chennai-AlandurBusDepot,21.21,42.43,4.38,9.29,16.84,0.7,20.77,37.00 
,08/06/2021,Chennai-AlandurBusDepot,19.15,38.3,4.93,8.33,18.97,0.7,12.07,35.00 
,09/06/2021,Chennai-AlandurBusDepot,24.22,48.43,5.04,9.24,17.53,0.7,11.93,47.00 
,10/06/2021,Chennai-AlandurBusDepot,20.1,40.19,4.64,9.94,17.56,0.7,2.53,46.00 
,11/06/2021,Chennai-AlandurBusDepot,27.6,55.19,5.02,10.22,17.57,0.7,0.68,49.00 
,12/06/2021,Chennai-AlandurBusDepot,26.23,52.86,5.56,15.27,26.43,0.7,11.5,60.00 
,13/06/2021,Chennai-AlandurBusDepot,12.67,25.3,3.28,11.05,0.42,0.7,16.04,35.00 
,14/06/2021,Chennai-AlandurBusDepot,18.6,37.2,6,13.52,3.91,0.7,8.09,35.00 
,15/06/2021,Chennai-AlandurBusDepot,25.77,51.55,5.4,12.53,6.1,0.7,12.01,45.00 
,16/06/2021,Chennai-AlandurBusDepot,38.24,76.42,7.84,11.92,8.63,0.7,11.47,67.00 
,17/06/2021,Chennai-AlandurBusDepot,44.83,90.04,5.92,16.25,10.27,0.7,14.52,85.00 
,18/06/2021,Chennai-AlandurBusDepot,48.53,97.06,5.46,27.91,26.97,0.7,10.12,96.00 
,19/06/2021,Chennai-AlandurBusDepot,50.73,101.85,6.61,32.97,26.84,0.7,9.87,94.00 
,20/06/2021,Chennai-AlandurBusDepot,44.86,89.71,4.69,40.38,63.15,0.7,6.32,95.00 
,21/06/2021,Chennai-AlandurBusDepot,41.34,82.68,8.53,50.5,93.56,0.7,8.5,90.00 
,22/06/2021,Chennai-AlandurBusDepot,41.79,83.13,6.23,26.06,30.92,0.7,16.74,75.00 
,23/06/2021,Chennai-AlandurBusDepot,46.41,92.82,6.49,18.32,6.84,0.7,21.5,94.00 
,24/06/2021,Chennai-AlandurBusDepot,34.39,69.1,6.49,11.78,9.45,0.7,10.5,71.00 
,25/06/2021,Chennai-AlandurBusDepot,39.01,89.87,10.45,11.53,10.06,0.69,27.13,80.00 
,26/06/2021,Chennai-AlandurBusDepot,45.62,91.23,6.92,12.85,0.7,0.7,48.12,99.00 
,27/06/2021,Chennai-AlandurBusDepot,20.43,40.87,5.86,9.9,0.08,0.7,35.03,54.00 
,28/06/2021,Chennai-AlandurBusDepot,26.69,52.96,9.05,11.8,11.27,0.7,30.37,43.00 
,29/06/2021,Chennai-AlandurBusDepot,30.51,61.01,5.25,7.07,0.01,0.7,21.17,69.00 
,30/06/2021,Chennai-AlandurBusDepot,27.34,54.12,4.87,7.57,127.87,0.69,9.68,49.00 
Jul/21,01/07/2021,Chennai-AlandurBusDepot,21.97,43.93,6.6,7.58,19.56,0.7,7.36,54.00 
,02/07/2021,Chennai-AlandurBusDepot,27.44,55.13,9.64,11.75,28.36,0.7,19.5,55.00 
,03/07/2021,Chennai-AlandurBusDepot,23.12,46.24,7.47,10.99,32.57,0.7,15.42,44.00 
,04/07/2021,Chennai-AlandurBusDepot,25.18,50.37,6.63,10.62,44.25,0.7,21.87,55.00 
,05/07/2021,Chennai-AlandurBusDepot,16.92,33.84,6.04,9.08,43.79,0.69,5.59,56.00 
,06/07/2021,Chennai-AlandurBusDepot,29.84,59.68,7.58,10.57,50.14,0.7,4.07,64.00 
,07/07/2021,Chennai-AlandurBusDepot,23.79,47.45,6.25,9.14,30.12,0.7,4.91,62.00 
,08/07/2021,Chennai-AlandurBusDepot,28.11,56.19,6.53,9.67,9.28,0.7,15.46,52.00 
,15/07/2021,Chennai-AlandurBusDepot,16.44,32.59,13.99,15,10.35,0.7,16.68,35.00 
,16/07/2021,Chennai-AlandurBusDepot,26.38,52.75,14.01,15,10.57,0.7,6.96,51.00 
,17/07/2021,Chennai-AlandurBusDepot,15.91,31.81,14.03,15,10.69,0.69,4.95,38.00 
,19/07/2021,Chennai-AlandurBusDepot,20.78,41,14.01,15,10.93,0.7,13.26,41.00 
,20/07/2021,Chennai-AlandurBusDepot,23.64,47.02,14.02,15,10.87,0.7,15.87,41.00 
,21/07/2021,Chennai-AlandurBusDepot,26.23,52.03,14.02,15.01,10.53,0.7,16.98,55.00 
,22/07/2021,Chennai-AlandurBusDepot,31.96,63.97,14.01,15,10.73,0.7,6.41,63.00 
,23/07/2021,Chennai-AlandurBusDepot,29.7,59.38,13.12,15.01,10.86,0.7,0.78,58.00 
,24/07/2021,Chennai-AlandurBusDepot,29.8,59.47,11.48,15,10.87,0.7,7.65,58.00 
,25/07/2021,Chennai-AlandurBusDepot,23.98,47.94,11.48,15,10.97,0.7,8.54,57.00 
,26/07/2021,Chennai-AlandurBusDepot,19.37,38.08,11.5,14.99,11.16,0.7,17.31,39.00 
,27/07/2021,Chennai-AlandurBusDepot,23.14,45.45,11.47,15.01,11.87,0.7,11.4,40.00 
,28/07/2021,Chennai-AlandurBusDepot,34.52,69.04,11.49,15.01,12.39,0.7,9.18,69.00 
,29/07/2021,Chennai-AlandurBusDepot,30.77,61.29,11.47,14.99,12.39,0.7,10.05,60.00 
,30/07/2021,Chennai-AlandurBusDepot,34.82,69.64,11.49,15,12.53,0.7,6.99,64.00 
,31/07/2021,Chennai-AlandurBusDepot,25.89,51.86,11.48,15.02,12.43,0.7,6.63,65.00 
Aug/21,01/08/2021,Chennai-AlandurBusDepot,21.61,43.22,11.47,15,12.44,0.7,5.87,42.00 
,02/08/2021,Chennai-AlandurBusDepot,24.13,48.26,11.47,15,12.43,0.7,11.12,46.00 
,03/08/2021,Chennai-AlandurBusDepot,22.92,45.84,11.48,14.99,12.46,0.7,6.84,51.00 
,04/08/2021,Chennai-AlandurBusDepot,25.85,51.7,11.48,14.99,12.61,0.7,6.59,45.00 
,05/08/2021,Chennai-AlandurBusDepot,30.91,62.04,11.47,15,12.76,0.7,10.06,61.00 
,06/08/2021,Chennai-AlandurBusDepot,27.57,55.45,11.49,15,12.45,0.7,9.28,58.00 
,07/08/2021,Chennai-AlandurBusDepot,24.18,48.35,11.48,15,12.41,0.7,10.42,49.00 
,08/08/2021,Chennai-AlandurBusDepot,27.91,55.82,11.47,15,12.79,0.7,7.82,55.00 
,09/08/2021,Chennai-AlandurBusDepot,24.69,49.21,11.47,15,10.83,0.7,11.8,51.00 
