Month/Year,Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3,AQI(Monthly),Avg.AQI(Monthly)
Jan/20,01/01/2020,Delhi - Punjabi Bagh,420.68,507.6,105.21,63.96,6.3,2.26,9.49,440.00 ,286.90 
,02/01/2020,Delhi - Punjabi Bagh,364.73,480.09,79.38,51.28,9.69,2.87,8.03,434.00 ,
,03/01/2020,Delhi - Punjabi Bagh,227.72,309.23,57.22,44.29,11.04,2.69,8.18,364.00 ,
,04/01/2020,Delhi - Punjabi Bagh,243.86,323.75,60.99,44.88,12.61,1.94,11.72,368.00 ,
,05/01/2020,Delhi - Punjabi Bagh,161.66,222.79,56.22,38.35,11.03,1.91,12.37,314.00 ,
,06/01/2020,Delhi - Punjabi Bagh,145.68,218.36,57.72,38.61,19.81,1.39,7.58,310.00 ,
,07/01/2020,Delhi - Punjabi Bagh,129.56,195.48,59.64,39.91,17.86,1.62,8.89,260.00 ,
,08/01/2020,Delhi - Punjabi Bagh,111.08,137.21,44.4,41.38,14.29,1.02,6.65,,
,09/01/2020,Delhi - Punjabi Bagh,84.11,121.81,37.34,32.62,3.78,1.02,9.36,187.00 ,
,10/01/2020,Delhi - Punjabi Bagh,126.51,181.64,51.69,31.77,13.03,1.23,10.88,249.00 ,
,11/01/2020,Delhi - Punjabi Bagh,144.19,217.1,59.6,31.44,11.01,1.61,13.56,274.00 ,
,12/01/2020,Delhi - Punjabi Bagh,226.77,331.28,58.71,38.55,12.56,2.45,12.71,337.00 ,
,13/01/2020,Delhi - Punjabi Bagh,195.62,272.59,62.24,39.63,8.8,1.53,9.2,366.00 ,
,14/01/2020,Delhi - Punjabi Bagh,94.27,131.77,40.02,33.78,18.7,1.49,7.55,262.00 ,
,15/01/2020,Delhi - Punjabi Bagh,100.19,158.89,48.75,31.07,23.65,1.5,9.36,182.00 ,
,16/01/2020,Delhi - Punjabi Bagh,137.1,197.71,45.03,33.89,14.22,1.7,6.75,283.00 ,
,17/01/2020,Delhi - Punjabi Bagh,114.02,164.53,36.75,33.22,5.74,1.69,7.21,270.00 ,
,18/01/2020,Delhi - Punjabi Bagh,121.92,184.24,45.78,32.65,8.15,1.66,7.78,250.00 ,
,19/01/2020,Delhi - Punjabi Bagh,117.3,160.22,34.47,30.63,12.3,1.46,11.07,274.00 ,
,20/01/2020,Delhi - Punjabi Bagh,149.33,214.62,38.35,31.51,8.61,2.14,10.89,268.00 ,
,21/01/2020,Delhi - Punjabi Bagh,249.83,367.43,56.94,37.21,12.23,2.52,9.05,383.00 ,
,22/01/2020,Delhi - Punjabi Bagh,204.2,285.22,48.31,35.3,4.16,1.02,8.19,390.00 ,
,23/01/2020,Delhi - Punjabi Bagh,72.08,128.32,41.07,25.77,12.94,1.33,12.53,220.00 ,
,24/01/2020,Delhi - Punjabi Bagh,71.07,127.88,40.81,24.68,5.95,1.23,14.41,138.00 ,
,25/01/2020,Delhi - Punjabi Bagh,121.82,226.64,55.95,29.76,12.55,2.72,21.01,,
