Month/ year,Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3,AQI,,
Jul/20,10/07/2020,Lucknow - Lalbagh,39.06,80.61,11.71,24.49,1.25,1.1,46.27,81.00 ,,
,11/07/2020,Lucknow - Lalbagh,32.94,96.88,6.13,25.21,1.16,1.1,49.04,97.00 ,,
,12/07/2020,Lucknow - Lalbagh,33.81,83.48,6.81,25.07,1.11,1.1,48.42,83.00 ,,
,13/07/2020,Lucknow - Lalbagh,48.37,95.29,11.29,24.58,0.96,1.1,48.43,95.00 ,,
,14/07/2020,Lucknow - Lalbagh,32.83,86.92,94.04,25.38,1.34,1.1,47.59,114.00 ,,
,15/07/2020,Lucknow - Lalbagh,68.9,91.13,33.09,28.26,2.51,1.1,47.96,128.00 ,,
,16/07/2020,Lucknow - Lalbagh,46.89,109.62,19.85,28.31,3.26,1.1,49.17,107.00 ,,
,17/07/2020,Lucknow - Lalbagh,50.96,284.73,30.09,27.86,3.77,1.1,48.53,235.00 ,,
,18/07/2020,Lucknow - Lalbagh,52.92,321.25,23.99,31.48,4.01,1.1,48.89,271.00 ,,
,19/07/2020,Lucknow - Lalbagh,33.35,118.3,16.44,32.57,3.79,1.1,47.44,112.00 ,,
,20/07/2020,Lucknow - Lalbagh,26.17,151.06,15.09,26.76,4.14,1.1,49.92,134.00 ,,
,21/07/2020,Lucknow - Lalbagh,24.45,136.7,13.76,17.06,4.14,1.1,48.89,125.00 ,,
,22/07/2020,Lucknow - Lalbagh,25.3,102.09,17.1,16.76,4,1.1,43.19,102.00 ,,
,23/07/2020,Lucknow - Lalbagh,38.67,64.67,22.79,28.59,3.81,1.1,31.97,65.00 ,,
,24/07/2020,Lucknow - Lalbagh,32.15,56.64,16.54,31.47,3.48,1.1,33.05,57.00 ,,
,25/07/2020,Lucknow - Lalbagh,42.36,64.27,11.72,29.2,3.62,1.1,39.76,70.00 ,,
,26/07/2020,Lucknow - Lalbagh,46.73,71.29,12.85,33.74,3.63,1.1,42.28,78.00 ,,
,27/07/2020,Lucknow - Lalbagh,42.24,75.59,17.5,32.75,4.08,1.1,35.09,76.00 ,,
,28/07/2020,Lucknow - Lalbagh,33.53,61.63,19.69,32.36,3.84,1.1,31.25,62.00 ,,
,29/07/2020,Lucknow - Lalbagh,18.09,137.56,18.81,29.29,4.88,1.1,35.15,125.00 ,,
,30/07/2020,Lucknow - Lalbagh,32.19,223.05,11.95,28.72,6,1.1,34.68,182.00 ,,
,31/07/2020,Lucknow - Lalbagh,35.78,103.71,11.41,34.09,6.54,1.1,34.52,103.00 ,,
Aug/20,01/08/2020,Lucknow - Lalbagh,30.79,183.29,12.26,36.96,5.42,1.1,37.6,156.00 ,,
,02/08/2020,Lucknow - Lalbagh,29.63,113.79,11.46,36.96,6.12,1.1,38.24,109.00 ,,
,03/08/2020,Lucknow - Lalbagh,35.58,123.97,11.82,35.19,7.32,1.1,39.49,116.00 ,,
,04/08/2020,Lucknow - Lalbagh,36.29,164.86,11.83,39.95,5.69,1.1,37.97,143.00 ,,
,05/08/2020,Lucknow - Lalbagh,23.18,85.22,14.95,37.69,11.47,1.1,39.03,85.00 ,,
,06/08/2020,Lucknow - Lalbagh,15.07,80.03,10.6,20.57,4.59,1.1,38.98,80.00 ,,
,07/08/2020,Lucknow - Lalbagh,30.56,77.15,6.14,7.64,4.38,1.1,43.32,77.00 ,,
