Timestamp,PM2.5,PM10,NO2,SO2,CO,O3,AQI,City,Season
2020/01/01 00:00:00,420.68,507.6,105.21,6.3,2.26,9.49,440,Delhi,Winter
2020/01/02 00:00:00,364.73,480.09,79.38,9.69,2.87,8.03,434,Delhi,Winter
2020/01/03 00:00:00,227.72,309.23,57.22,11.04,2.69,8.18,364,Delhi,Winter
2020/01/04 00:00:00,243.86,323.75,60.99,12.61,1.94,11.72,368,Delhi,Winter
2020/01/05 00:00:00,161.66,222.79,56.22,11.03,1.91,12.37,314,Delhi,Winter
2020/01/06 00:00:00,145.68,218.36,57.72,19.81,1.39,7.58,310,Delhi,Winter
2020/01/07 00:00:00,129.56,195.48,59.64,17.86,1.62,8.89,260,Delhi,Winter
2020/01/08 00:00:00,111.08,137.21,44.4,14.29,1.02,6.65,,Delhi,Winter
2020/01/09 00:00:00,84.11,121.81,37.34,3.78,1.02,9.36,187,Delhi,Winter
2020/01/10 00:00:00,126.51,181.64,51.69,13.03,1.23,10.88,249,Delhi,Winter
2020/01/11 00:00:00,144.19,217.1,59.6,11.01,1.61,13.56,274,Delhi,Winter
2020/01/12 00:00:00,226.77,331.28,58.71,12.56,2.45,12.71,337,Delhi,Winter
2020/01/13 00:00:00,195.62,272.59,62.24,8.8,1.53,9.2,366,Delhi,Winter
2020/01/14 00:00:00,94.27,131.77,40.02,18.7,1.49,7.55,262,Delhi,Winter
2020/01/15 00:00:00,100.19,158.89,48.75,23.65,1.5,9.36,182,Delhi,Winter
2020/01/16 00:00:00,137.1,197.71,45.03,14.22,1.7,6.75,283,Delhi,Winter
2020/01/17 00:00:00,114.02,164.53,36.75,5.74,1.69,7.21,270,Delhi,Winter
2020/01/18 00:00:00,121.92,184.24,45.78,8.15,1.66,7.78,250,Delhi,Winter
2020/01/19 00:00:00,117.3,160.22,34.47,12.3,1.46,11.07,274,Delhi,Winter
2020/01/20 00:00:00,149.33,214.62,38.35,8.61,2.14,10.89,268,Delhi,Winter
2020/01/21 00:00:00,249.83,367.43,56.94,12.23,2.52,9.05,383,Delhi,Winter
2020/01/22 00:00:00,204.2,285.22,48.31,4.16,1.02,8.19,390,Delhi,Winter
2020/01/23 00:00:00,72.08,128.32,41.07,12.94,1.33,12.53,220,Delhi,Winter
2020/01/24 00:00:00,71.07,127.88,40.81,5.95,1.23,14.41,138,Delhi,Winter
2020/01/25 00:00:00,121.82,226.64,55.95,12.55,2.72,21.01,,Delhi,Winter
2020/01/26 00:00:00,211.77,289.2,47.79,6.04,2.18,16.99,329,Delhi,Winter
2020/01/27 00:00:00,223.74,324.52,70.95,15.5,2.28,8.53,360,Delhi,Winter
